"","words","n"
"1","Интернет",29
"3","Настроения",23
"4","Опросы",23
"5","Погода",23
"6","Спутник",19
"7","Корпорации",19
"8","Общество",14
"9","Электронные чеки",10
"10","Геолокация",10
"11","Первичные данные",10
"12","Банковские карты",9
"13","Приложения",7
"14","Агрегаторы данных",6

